h,t
-0.018193727929786494,-4.47
-0.036424649401287826,-4.46
-0.054693407489561696,-4.45
-0.07292746361278869,-4.44
-0.09105368867546472,-4.43
-0.10899864902480955,-4.42
-0.12668889649672177,-4.41
-0.14405126143465413,-4.4
-0.16101314754173987,-4.39
-0.17750282740767484,-4.38
-0.19344973753760894,-4.37
-0.2087847717003835,-4.36
-0.22344057140839196,-4.35
-0.23735181234076835,-4.34
-0.25045548552591057,-4.33
-0.2626911721083229,-4.32
-0.2740013105385998,-4.31
-0.28433145504390356,-4.3
-0.29363052425966596,-4.29
-0.3018510389311901,-4.28
-0.3089493476265617,-4.27
-0.31488583943944115,-4.26
-0.3196251427020007,-4.25
-0.3231363087742447,-4.24
-0.3253929800261464,-4.23
-0.3263735411832457,-4.22
-0.3260612532644148,-4.21
-0.3244443694022397,-4.2
-0.3215162319016366,-4.19
-0.3172753499607455,-4.18
-0.3117254575495358,-4.17
-0.30487555101567376,-4.16
-0.29673990606382467,-4.15
-0.2873380738332995,-4.14
-0.27669485587964976,-4.13
-0.26484025794804017,-4.12
-0.25180942250977567,-4.11
-0.23764254011781266,-4.1
-0.22238473972222708,-4.09
-0.20608595817193737,-4.08
-0.1888007892144363,-4.07
-0.17058831239014538,-4.06
-0.15151190230231854,-4.05
-0.131639018826535,-4.04
-0.11104097890561015,-4.03
-0.08979271065570073,-4.02
-0.06797249058734116,-4.01
-0.04566166482051443,-4.0
-0.02294435524573557,-3.99
9.284834737163175e-5,-3.98
0.02336120908614614,-3.97
0.04677017562519345,-3.96
0.07022772534185684,-3.95
0.09364071685339237,-3.94
0.11691525054246812,-3.93
0.13995703573248192,-3.92
0.16267176311391326,-3.91
0.18496548098802773,-3.9
0.20674497386448612,-3.89
0.22791814192539187,-3.88
0.24839437984986248,-3.87
0.26808495348064093,-3.86
0.28690337280760647,-3.85
0.3047657597424457,-3.84
0.3215912091641379,-3.83
0.33730214172658124,-3.82
0.3518246469373121,-3.81
0.3650888150401801,-3.8
0.3770290562647576,-3.79
0.38758440604124955,-3.78
0.39669881482160124,-3.77
0.4043214211952977,-3.76
0.4104068070418155,-3.75
0.4149152335207882,-3.74
0.4178128567653386,-3.73
0.4190719222136708,-3.72
0.4186709365885676,-3.71
0.41659481661370235,-3.7
0.41283501363937125,-3.69
0.4073896134380956,-3.68
0.4002634105222196,-3.67
0.39146795643080523,-3.66
0.3810215815314831,-3.65
0.3689493899840562,-3.64
0.35528322761622194,-3.63
0.3400616225674213,-3.62
0.3233296986640133,-3.61
0.30513906159750886,-3.6
0.28554765808682764,-3.59
0.26461960831521436,-3.58
0.2424250120420398,-3.57
0.2190397288988164,-3.56
0.19454513348688698,-3.55
0.16902784600110712,-3.54
0.14257943920868935,-3.53
0.11529612271520956,-3.52
0.08727840554971437,-3.51
0.05863073819781709,-3.5
0.02946113530503724,-3.49
-0.00011921963792257891,-3.48
-0.02999638623116819,-3.47
-0.060054094245697826,-3.46
-0.09017418429510995,-3.45
-0.1202370604766159,-3.44
-0.15012215329494427,-3.43
-0.17970839112478115,-3.42
-0.20887467841567206,-3.41
